F.SIEMBRA;CODIGO;ESPECIE;CLIMA;UBICACI;RESPONSABLE;S.VANA;S.STOCK;C.SOLIC;DISPONE;F.GERMI;E.CAPSU
11/12/2017;PRS12561-001   ;Aa sp 'Ludo';IC;P-116 N-D   ;MANUEL RUIZ         ;  ;0;      ;0;17/2/2018;Cerrada   
23/2/2019;PIS13820       ;Acampe joiceyana;IW;P-          ;                    ;  ;0;1500;0;-;Abierta   
17/10/2017;PIS10441       ;Acampe praemorsa;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;1;800;0;-;Cerrada   
14/4/2020;PIS10441-001   ;Acampe praemorsa (Autopoli);Warm ;P-102 N-F   ;MANUEL RUIZ         ;  ;1;500;0;-;Abierta   
22/3/2022;PIS10441-001   ;Acampe praemorsa (Autopoli);Warm ;P-101 N-C   ;MANUEL RUIZ         ;  ;1;500;0;-;Abierta   
20/4/2023;PIS10441-001   ;Acampe praemorsa (Autopoli);Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;1;500;0;-;Abierta   
29/1/2024;PIS10441-001   ;Acampe praemorsa (Autopoli);Warm ;P-101 N-D   ;MANUEL RUIZ         ;  ;0;500;0;-;Abierta   
26/7/2019;PIS10441-001   ;Acampe praemorsa (Autopoli);Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;1;500;0;6/9/2019;Cerrada   
2/10/2018;PIS10959       ;Acanthephippium sylhetense;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;1000;0;-;Cerrada   
31/7/2015;PRE10942       ;Achyranthes spinosa;Intermedio ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;800;0;-;Abierta   
3/1/2025;PRS1451-001    ;Acianthera ciliata (Autopoli);IW;P-102 N-D   ;PATRICIA ZHIÑIN     ;  ;1;4000;3;-;Cerrada   
10/1/2025;PRS1451-001    ;Acianthera ciliata (Autopoli);IW;P-101 N-C   ;PATRICIA ZHIÑIN     ;  ;0;4000;5;-;Cerrada   
26/3/2025;PRS1451-001    ;Acianthera ciliata (Autopoli);IW;P-101 N-E   ;MANUEL RUIZ         ;  ;1;4000;0;-;Abierta   
2/4/2025;PRS1451-001    ;Acianthera ciliata (Autopoli);IW;P-101 N-E   ;MANUEL RUIZ         ;  ;1;4000;2;-;Cerrada   
2/4/2025;PRS1451-001    ;Acianthera ciliata (Autopoli);IW;P-          ;                    ;  ;1;4000;0;-;Abierta   
19/7/2016;PRS1461        ;Acianthera crinita;Intermedio ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;2000;0;-;Cerrada   
5/2/2024;PRS1461        ;Acianthera crinita;Intermedio ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;2000;0;-;Cerrada   
24/2/2024;PRS1461        ;Acianthera crinita;Intermedio ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;2000;0;-;Abierta   
23/2/2024;PRS1461        ;Acianthera crinita;Intermedio ;P-101 N-C   ;MANUEL RUIZ         ;  ;0;2000;0;-;Abierta   
15/8/2017;PRS1461        ;Acianthera crinita;Intermedio ;P-101 N-F   ;MANUEL RUIZ         ;  ;0;2000;0;8/12/2017;Cerrada   
21/11/2017;PRS1461        ;Acianthera crinita;Intermedio ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;2000;0;5/1/2018;Cerrada   
