genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Aciopea,Gunter Gerlach,H-000208,08-oct-10,07-Dec-10,PRH0006,V-16 M-1F,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Leopardo,H-000238,08-oct-10,07-Dec-10,PRH0020,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Ada,Beverston Castle,H-000255,08-oct-10,07-Dec-10,PRH0021,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Bridget Beattie,H-000237,08-oct-10,07-Dec-10,PRH0022,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Chuck Hanson,H-000210,08-oct-10,07-Dec-10,PRH0023,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Adaglossum,Gualaceo,H-000239,08-oct-10,07-Dec-10,PRH0025,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Oncidium,Lois Posey,H-000240,08-oct-10,07-Dec-10,PRH0170,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Oncidium,Lois Posey,H-000582,20-nov-12,27-may-13,PRH0170,V-15 M-3C,CARLOS GUACHISACA,6,0,HIBRID_STEFY.XLS
Coryhopea,Cutucu,H-000250,08-oct-10,07-Dec-10,PRH0186,V-21 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Marisa Claire,H-000256,08-oct-10,07-Dec-10,PRH0229,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtollaria,Increible,H-000214,08-oct-10,07-Dec-10,PRH0232,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtoglossum,Ken Meier,H-000213,08-oct-10,07-Dec-10,PRH0233,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Shirley Dunkelberger,H-000211,08-oct-10,07-Dec-10,PRH0241,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Anita De Cordero,H-000228,08-oct-10,07-Dec-10,PRH0245,V-16 M-5B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Dracuvallia,Tristesita,H-000215,08-oct-10,07-Dec-10,PRH0310,V-9 M-8B P-D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Dracuvallia,Gualaquiza,H-000251,08-oct-10,07-Dec-10,PRH0325,V-15 M-2B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Epidendrum,Crystal Valley,H-000257,08-oct-10,07-Dec-10,PRH0418,V-17 M-2D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Epidendrum,Michael Riley,H-000216,08-oct-10,07-Dec-10,PRH0441,V-9 P-C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillacaste,Heinz Michael Pinkepank,H-000268,08-oct-10,07-Dec-10,PRH0754,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Machu Picchu,H-000258,08-oct-10,07-Dec-10,PRH0799,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Anochecer,H-000244,08-oct-10,07-Dec-10,PRH0973,V-9 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Paola Medina,H-000232,08-oct-10,07-Dec-10,PRH1002,V-15 M-1C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Sueno Lindo,H-000219,08-oct-10,07-Dec-10,PRH1044,V-10 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Estera Hanson,H-000245,08-oct-10,07-Dec-10,PRH1069,V-18 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Macas,H-000260,08-oct-10,07-Dec-10,PRH1109,V-16 M-5E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Paloma,H-000220,08-oct-10,07-Dec-10,PRH1125,V-18 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,La Cuencanita,H-000235,08-oct-10,07-Dec-10,PRH1142,V-17 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Fabricio Suarez,H-000246,08-oct-10,07-Dec-10,PRH1143,V-17 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Sangay,H-000261,08-oct-10,07-Dec-10,PRH1164,V-9 M-7B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Jinsop Medina,H-000247,08-oct-10,07-Dec-10,PRH1181,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtocidium,Steve Beckendorf,H-000241,08-oct-10,07-Dec-10,PRH1252,V-15 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
